pub_date,headline,abstract,snippet,lead_paragraph,source,type_of_material,document_type,word_count,web_url,section_name,subsection_name,news_desk
2020-01-08T19:36:29Z,"Iran’s Military Response May Be ‘Concluded,’ but Cyberwarfare Threat Grows","Cybersecurity experts are seeing malicious activity from pro-Iranian forces, and warning that Iran has the capacity to do real damage to American computer systems.","Cybersecurity experts are seeing malicious activity from pro-Iranian forces, and warning that Iran has the capacity to do real damage to American computer systems.",WASHINGTON — Iran’s declaration on Wednesday that a missile attack on Iraq had “concluded proportionate measures” against the United States in response to the killing of its most important general may amplify the Trump administration’s attention on computer systems as the next battlefield in its showdown with Tehran.,The New York Times,News,article,1387,https://www.nytimes.com/2020/01/08/us/politics/iran-attack-cyber.html,U.S.,Politics,Washington
2020-01-07T21:17:32Z,Inside the Billion-Dollar Battle Over .Org,A private equity firm wants to buy the internet domain used by nonprofits. A group of online pioneers says it is not the place to maximize profits.,A private equity firm wants to buy the internet domain used by nonprofits. A group of online pioneers says it is not the place to maximize profits.,"Two months ago, Ethos Capital, a private equity firm, announced that it planned to buy the rights to a tract of internet real estate for more than $1 billion.",The New York Times,News,article,993,https://www.nytimes.com/2020/01/07/technology/dot-org-private-equity-battle.html,Technology,,Business
2020-01-07T16:33:19Z,It’s Time to Calibrate Fears of a Cyberwar With Iran,It is very difficult for Iran to launch cyberattacks that would affect a significant portion of the American population.,It is very difficult for Iran to launch cyberattacks that would affect a significant portion of the American population.,"In the aftermath of the American killing of Iran’s top general, Qassim Suleimani, and Iranian retaliation Tuesday against American personnel in Iraq, many are wondering what role cyberwarfare will play.",The New York Times,Op-Ed,article,943,https://www.nytimes.com/2020/01/07/opinion/iran-cyber-attack-hacking.html,Opinion,,OpEd
2020-01-07T10:00:27Z,Why Did the U.S. Kill Suleimani?,The attack illustrates America’s lack of a clear grand strategy — and why we need one immediately.,The attack illustrates America’s lack of a clear grand strategy — and why we need one immediately.,"Among the many questions raised by the killing of Maj. Gen. Qassim Suleimani, perhaps the most pressing is, “Why?” Yes, General Suleimani was responsible for hundreds of American deaths, and he may have been planning another attack on United States forces. But the greater concern, raised by people from Tucker Carlson on the right to Elizabeth Warren on the left, is how this provocative act fits into America’s overall interests — in other words, our grand strategy.",The New York Times,Op-Ed,article,1478,https://www.nytimes.com/2020/01/07/opinion/soleimani-killed-us.html,Opinion,,OpEd
2020-01-06T20:48:15Z,Government Website Is Hacked With Pro-Iran Messages,"Officials were still investigating the attack, which was consistent with the work of low-level Iranian nationalist hackers looking for easy American targets, experts said.","Officials were still investigating the attack, which was consistent with the work of low-level Iranian nationalist hackers looking for easy American targets, experts said.","A federal government website was hacked over the weekend to show messages vowing revenge for the death of Iran’s most powerful commander and a doctored photograph of President Trump being punched in the jaw. The intrusion was consistent with the work of low-level nationalist Iranian hackers, experts said.",The New York Times,News,article,634,https://www.nytimes.com/2020/01/06/us/iran-hack-federal-depository-library.html,U.S.,,Express
2020-01-06T02:20:23Z,"For Trump, the Burden May Be Proving This Is Not the Moment His Critics Predicted",The president and his allies dismiss the criticism about his Iran actions as partisan blowback from political adversaries too timid to take strong action against foreign enemies.,The president and his allies dismiss the criticism about his Iran actions as partisan blowback from political adversaries too timid to take strong action against foreign enemies.,"WASHINGTON — For three years, President Trump’s critics have expressed concern over how he would handle a genuine international crisis, warning that a commander in chief known for impulsive action might overreach with dangerous consequences. ",The New York Times,News,article,1342,https://www.nytimes.com/2020/01/05/us/politics/trump-iran.html,U.S.,Politics,Washington
2020-01-03T10:13:11Z,I Needed the Discounts,"I never intended to sign up. I was as skeptical as anyone about the Ötzi tracking suit, but I needed the discounts.","I never intended to sign up. I was as skeptical as anyone about the Ötzi tracking suit, but I needed the discounts.","I never intended to sign up. I was as skeptical as anyone about the Ötzi tracking suit, but I needed the discounts.",The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/connor-willumsen-privacy-comic.html,Opinion,Sunday Review,Opinion
2020-01-03T10:09:16Z,Tell Me Everything,"This wasn’t “1984”; Aunt Nettie wasn’t Big Brother. Indeed, some called her Big Mother.","This wasn’t “1984”; Aunt Nettie wasn’t Big Brother. Indeed, some called her Big Mother.","This wasn’t “1984”; Aunt Nettie wasn’t Big Brother. Indeed, some called her Big Mother.",The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/gish-jen-privacy-surveillance.html,Opinion,Sunday Review,Opinion
2020-01-03T10:09:06Z,A Charm Against All That,Oz is a place where everything’s watched but nothing’s canceled.,Oz is a place where everything’s watched but nothing’s canceled.,Oz is a place where everything’s watched but nothing’s canceled.,The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/jessica-baran-privacy-poem.html,Opinion,Sunday Review,Opinion
2020-01-03T10:04:49Z,An Empty Street in Daylight,I stare at my parents as they stare out the windows in disbelief. What happened? Where is everyone?,I stare at my parents as they stare out the windows in disbelief. What happened? Where is everyone?,I stare at my parents as they stare out the windows in disbelief. What happened? Where is everyone?,The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/ilya-kaminsky-privacy-poem.html,Opinion,Sunday Review,Opinion
2020-01-03T10:01:59Z,Unrequited Love Song for the Panopticon,You listened when I asked for advice; when I hummed in the shower; you were always listening.,You listened when I asked for advice; when I hummed in the shower; you were always listening.,You listened when I asked for advice; when I hummed in the shower; you were always listening.,The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/franny-choi-privacy-poem.html,Opinion,Sunday Review,Opinion
2020-01-03T10:00:09Z,Stealth,"So many apps we’ve downloaded as parts of our bodies. But we take it all off now, all that tech, unless we need some gizmo to breathe.","So many apps we’ve downloaded as parts of our bodies. But we take it all off now, all that tech, unless we need some gizmo to breathe.","So many apps we’ve downloaded as parts of our bodies. But we take it all off now, all that tech, unless we need some gizmo to breathe.",The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/jillian-weise-stealth.html,Opinion,Sunday Review,Opinion
2020-01-03T10:00:04Z,"Alexa, Awake","I scrolled through the photographs of the two of you, kissing hand-in-hand, the archaeology of your love pieced together in binary code.","I scrolled through the photographs of the two of you, kissing hand-in-hand, the archaeology of your love pieced together in binary code.","I scrolled through the photographs of the two of you, kissing hand-in-hand, the archaeology of your love pieced together in binary code.",The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/brian-turner-alexa-poem.html,Opinion,Sunday Review,Opinion
2020-01-03T10:00:03Z,Parent-Teacher Association,"This is your network, we told our kids. Each dot is an opportunity, a chance to connect; the more you connect, the larger your network.","This is your network, we told our kids. Each dot is an opportunity, a chance to connect; the more you connect, the larger your network.","This is your network, we told our kids. Each dot is an opportunity, a chance to connect; the more you connect, the larger your network.",The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/jessica-powell-parent-teacher-association.html,Opinion,Sunday Review,Opinion
2020-01-03T10:00:03Z,Confessions of a Dating Profile,"My boss’s demands were very, very persuasive, appealing to the deep human need to share and be seen. I know because I wrote them.","My boss’s demands were very, very persuasive, appealing to the deep human need to share and be seen. I know because I wrote them.","My boss’s demands were very, very persuasive, appealing to the deep human need to share and be seen. I know because I wrote them.",The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/eric-kaplan-dating-profile.html,Opinion,Sunday Review,Opinion
2020-01-03T10:00:03Z,From the Analyst Sifting Through Our Digital Traces,Surveillance is a song that turns off the songs you could be singing.,Surveillance is a song that turns off the songs you could be singing.,Surveillance is a song that turns off the songs you could be singing.,The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/jennifer-kronovet-privacy-poem.html,Opinion,Sunday Review,Opinion
2020-01-03T10:00:03Z,The Protest,She’d carried the mask around all morning. Like keeping it close would tell her whether to go.,She’d carried the mask around all morning. Like keeping it close would tell her whether to go.,She’d carried the mask around all morning. Like keeping it close would tell her whether to go.,The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/alex-berenson-privacy-protest.html,Opinion,Sunday Review,Opinion
2020-01-03T10:00:03Z,The Countdown,Did the uncertainty of death — when and how it would arrive — make days like this one easier or more difficult to appreciate?,Did the uncertainty of death — when and how it would arrive — make days like this one easier or more difficult to appreciate?,Did the uncertainty of death — when and how it would arrive — make days like this one easier or more difficult to appreciate?,The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/amadou-diallo-the-countdown.html,Opinion,Sunday Review,Opinion
2020-01-03T10:00:02Z,Privacy,"","","",The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/robert-pinsky-privacy-poem.html,Opinion,,Opinion
2020-01-03T10:00:02Z,My Phones,I am one of those fifty billion green pings moving through Central Park or the Pentagon.,I am one of those fifty billion green pings moving through Central Park or the Pentagon.,I am one of those fifty billion green pings moving through Central Park or the Pentagon.,The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2020/01/03/opinion/matthew-zapruder-privacy-poem.html,Opinion,Sunday Review,Opinion
2019-12-21T16:07:41Z,"In India Tech City Shocked by Gang Rape, Vigilante Justice Gets Praise","Hyderabad is a fast-modernizing metropolis, and violence against men accused of rape is finding support.","Hyderabad is a fast-modernizing metropolis, and violence against men accused of rape is finding support.","HYDERABAD, India — All day, every day, at a certain point along a highway leading out of Hyderabad, people stop their cars and get out to peer over the guardrail.",The New York Times,News,article,1230,https://www.nytimes.com/2019/12/21/world/asia/india-rape-hyderabad.html,World,Asia Pacific,Foreign
2019-12-21T10:00:19Z,U.S. Braces for Major North Korean Weapons Test as Trump’s Diplomacy Fizzles,"President Trump’s summits with Kim Jong-un have failed to bring concrete results, and the diplomatic vacuum has given North Korea more time to build its nuclear arsenal.","President Trump’s summits with Kim Jong-un have failed to bring concrete results, and the diplomatic vacuum has given North Korea more time to build its nuclear arsenal.","WASHINGTON — American military and intelligence officials tracking North Korea’s actions by the hour say they are bracing for an imminent test of an intercontinental ballistic missile capable of reaching American shores, but appear resigned to the fact that President Trump has no good options to stop it.",The New York Times,News,article,2003,https://www.nytimes.com/2019/12/21/world/asia/north-korea-missile-test-trump-kim.html,World,Asia Pacific,Washington
2019-12-20T09:59:53Z,How to Track President Trump,Smartphones leave a trail that anyone — and any foreign government — could follow.,Smartphones leave a trail that anyone — and any foreign government — could follow.,Smartphones leave a trail that anyone — and any foreign government — could follow.,The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2019/12/20/opinion/location-data-national-security.html,Opinion,,Opinion
2019-12-05T20:19:55Z,A Portrait of Gen Z: Winners of Our Second Annual Student Photo Contest,We invited teenagers to show us aspects of their lives that adults often overlook or misunderstand. Here’s what they think we should know.,We invited teenagers to show us aspects of their lives that adults often overlook or misunderstand. Here’s what they think we should know.,"Over 2,200 students took us up on our second annual challenge to “show us your generation” — to photograph aspects of teenage life that push back against media and adult stereotypes and make the portrait of Generation Z more interesting, nuanced, complete or real. ",The New York Times,News,article,6187,https://www.nytimes.com/2019/12/05/learning/a-portrait-of-gen-z-winners-of-our-second-annual-student-photo-contest.html,The Learning Network,,Learning
2019-12-04T23:45:26Z,"Iran Is Secretly Moving Missiles Into Iraq, U.S. Officials Say",The buildup of a hidden arsenal of short-range missiles is the latest sign that American efforts to deter Iran have largely failed.,The buildup of a hidden arsenal of short-range missiles is the latest sign that American efforts to deter Iran have largely failed.,"WASHINGTON — Iran has used the continuing chaos in Iraq to build up a hidden arsenal of short-range ballistic missiles in Iraq, part of a widening effort to try to intimidate the Middle East and assert its power, according to American intelligence and military officials.",The New York Times,News,article,963,https://www.nytimes.com/2019/12/04/us/politics/iran-missiles-iraq.html,U.S.,Politics,Washington
2019-12-04T22:20:19Z,"With Internal Squabbling on Vivid Display, What’s Next for NATO?","The alliance might not be suffering “brain death” but it faces new technologies, new rivals, new weapons and a changing America.","The alliance might not be suffering “brain death” but it faces new technologies, new rivals, new weapons and a changing America.","LONDON — When President Trump left the NATO gathering early and in a huff on Wednesday, it only reinforced the fear that with America distracted and retreating, the West’s celebrated alliance has lost focus. ",The New York Times,News Analysis,article,1606,https://www.nytimes.com/2019/12/04/world/europe/nato-future-trump-macron.html,World,Europe,Foreign
2019-12-03T10:31:04Z,"Tariffs, NATO, Philippines: Your Tuesday Briefing",Here's what you need to know.,Here's what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),The New York Times,briefing,article,1373,https://www.nytimes.com/2019/12/03/briefing/tariffs-nato-philippines.html,Briefing,,NYTNow
2019-11-29T20:00:06Z,The Criminal Silicon Valley Is Thriving,Eastern Europe’s cybercriminals are highly sophisticated. Can they be coaxed into more honest work?,Eastern Europe’s cybercriminals are highly sophisticated. Can they be coaxed into more honest work?,"The holiday shopping season is upon us, and along with the bright lights and frosted window displays we can count on suffering through a more shadowy tradition: rampant cybercrime. Between Black Friday and Christmas in 2013, cyberthieves gained access to credit and debit card information from up to 40 million Target customers. This month, Macy’s announced that digital intruders had stolen payment information on its website from an undisclosed number of accounts — not the first time this has happened to the company. ",The New York Times,Op-Ed,article,995,https://www.nytimes.com/2019/11/29/opinion/the-criminal-silicon-valley-is-thriving.html,Opinion,,OpEd
2019-11-18T13:26:51Z,Stop! Don’t Charge Your Phone This Way,You might want to think twice before plugging in at an airport or on the train.,You might want to think twice before plugging in at an airport or on the train.,"A dead or dying phone or laptop is enough to send anybody on a mad dash to find a way to charge the device, but you might want to think twice before using that random cable found at an airport charging station or docking into that hotel USB port — hackers could be waiting. ",The New York Times,News,article,549,https://www.nytimes.com/2019/11/18/technology/personaltech/usb-warning-juice-jacking.html,Technology,Personal Tech,Express
2019-11-18T10:46:49Z,"Hong Kong, Fresno, Minnesota Vikings: Your Monday Briefing",Here's what you need to know.,Here's what you need to know.,(Want to get this briefing by email? Here’s the sign-up.),The New York Times,briefing,article,1391,https://www.nytimes.com/2019/11/18/briefing/hong-kong-fresno-minnesota-vikings.html,Briefing,,NYTNow
2019-11-15T10:00:27Z,How These Niche Stores Are Surviving the Retail Apocalypse,"Cash registers, game cartridges, pencils, rubber stamps. There’s a passion — and apparently a market — for all things analog.","Cash registers, game cartridges, pencils, rubber stamps. There’s a passion — and apparently a market — for all things analog.",Want an experience other than ordering impersonal packages from your sofa on Cyber Monday?,The New York Times,News,article,1267,https://www.nytimes.com/2019/11/15/nyregion/analog-era-shops-nyc.html,New York,,Metropolitan
2019-11-14T17:10:02Z,Trump’s Choice: National Security or Political Obsession,The impeachment inquiry is the first to involve an issue of geopolitical gravity: Whether the president was undercutting American national interests — containing Russia — to bolster his campaign.,The impeachment inquiry is the first to involve an issue of geopolitical gravity: Whether the president was undercutting American national interests — containing Russia — to bolster his campaign.,"The last two impeachment investigations of the past half-century began with a third-rate burglary and an extramarital affair. They quickly expanded to question the credibility and ethics of the president, but never touched on America’s national interests in the weightiest geopolitical confrontations of their eras.",The New York Times,News,article,1615,https://www.nytimes.com/2019/11/14/us/politics/trump-impeachment-national-security.html,U.S.,Politics,Washington
2019-11-13T23:42:08Z,Finding Truth Online Is Hard Enough. Censors Make It a Labyrinth.,"Under President Erdogan's censorship regime, Turks can easily find everyday information. But they never fully know what they're missing.","Under President Erdogan's censorship regime, Turks can easily find everyday information. But they never fully know what they're missing.","Under President Erdogan's censorship regime, Turks can easily find everyday information. But they never fully know what they're missing.",The New York Times,Interactive Feature,multimedia,0,https://www.nytimes.com/interactive/2019/11/13/magazine/internet-turkey.html,Magazine,,Magazine
2019-11-13T18:33:04Z,Read George Kent’s Prepared Opening Statement From the Impeachment Hearing,"Mr. Kent, a senior State Department official, appeared on Capitol Hill for testimony Wednesday as the public impeachment hearings began.","Mr. Kent, a senior State Department official, appeared on Capitol Hill for testimony Wednesday as the public impeachment hearings began.","George P. Kent, a senior State Department official, appeared on Capitol Hill for testimony Wednesday during public hearings as lawmakers consider whether to impeach President Trump for what Democrats say was an effort to use the power of his office for political gain.",The New York Times,News,article,2570,https://www.nytimes.com/2019/11/13/us/politics/george-kent-opening-statement-impeachment.html,U.S.,Politics,Washington
2019-11-01T13:00:06Z,The Week in Tech: WhatsApp’s Spyware Fight Is at Least Good P.R.,"The messaging service is suing a cybersurveillance company. Whether it’s successful or not, it is a strong statement from WhatsApp and its owner, Facebook.","The messaging service is suing a cybersurveillance company. Whether it’s successful or not, it is a strong statement from WhatsApp and its owner, Facebook.","Each week, we review the week’s news, offering analysis about the most important developments in the tech industry.",The New York Times,News,article,1251,https://www.nytimes.com/2019/11/01/technology/whatsapp-nso.html,Technology,,Business
2019-11-01T09:00:11Z,Here Comes the Smooth Ride to Replace the Military’s Hated Humvee,"The JLTV is designed to be a troop-pleaser — more comfortable, better protected, able to go anywhere. But experts debate whether the truck is the right vehicle for the conflicts to come.","The JLTV is designed to be a troop-pleaser — more comfortable, better protected, able to go anywhere. But experts debate whether the truck is the right vehicle for the conflicts to come.","FORT McCOY, Wis. — The war zone of tomorrow may be a dystopian hellscape of crippling cyber strikes, autonomous death rays and swarms of killer bots. But whatever America’s future conflicts might bring, this much is certain: There will finally be cup holders.",The New York Times,News,article,1428,https://www.nytimes.com/2019/11/01/us/pentagon-jltv-vehicle.html,U.S.,,National
2019-10-22T09:00:14Z,"China Sharpens Hacking to Hound Its Minorities, Far and Wide","New, more sophisticated attacks are targeting Uighurs’ phones — even iPhones and even abroad, security researchers say. They warn that foreigners could be next.","New, more sophisticated attacks are targeting Uighurs’ phones — even iPhones and even abroad, security researchers say. They warn that foreigners could be next.","SAN FRANCISCO — China’s state-sponsored hackers have drastically changed how they operate over the last three years, substituting selectivity for what had been a scattershot approach to their targets and showing a new determination by Beijing to push its surveillance state beyond its borders.",The New York Times,News,article,1544,https://www.nytimes.com/2019/10/22/technology/china-hackers-ethnic-minorities.html,Technology,,Business
2019-10-21T20:48:25Z,Why Hillary Clinton Shouldn’t Trade in Conspiracy Theories About Tulsi Gabbard,The problem is not just paranoia. It’s also that she questioned a candidate’s motives rather than the soundness of her views.,The problem is not just paranoia. It’s also that she questioned a candidate’s motives rather than the soundness of her views.,"On Friday, Hillary Clinton suggested on a podcast that the Russian government might be “grooming” Democratic Representative Tulsi Gabbard of Hawaii as a third-party presidential candidate and referred to the former Green Party candidate Jill Stein as “a Russian asset.”",The New York Times,Op-Ed,article,845,https://www.nytimes.com/2019/10/21/opinion/tulsi-gabbard-hillary-clinton.html,Opinion,,OpEd
2019-10-11T23:22:49Z,Trump Orders Troops and Weapons to Saudi Arabia in Message of Deterrence to Iran,The announcement came five days after Mr. Trump said his desire to end America’s “endless wars” led him to pull back troops from the Syria-Turkey border.,The announcement came five days after Mr. Trump said his desire to end America’s “endless wars” led him to pull back troops from the Syria-Turkey border.,"WASHINGTON — The United States is sending about 3,000 additional troops to Saudi Arabia in the latest military response by the Trump administration after it accused Iran of attacks last month on Saudi oil facilities, the Pentagon said on Friday.",The New York Times,News,article,814,https://www.nytimes.com/2019/10/11/world/middleeast/trump-saudi-arabia-iran-troops.html,World,Middle East,Washington
2019-10-09T19:00:08Z,Our Collective Responsibility for Mass Shootings,"For far too long, online forums and marketplaces have been granted near-total immunity when they contribute to gun violence.","For far too long, online forums and marketplaces have been granted near-total immunity when they contribute to gun violence.","We have reached a point in America at which mass shootings happen so often that the country sometimes only has a few days — sometimes only a few hours — to catch its breath in between. When the shooter is white and male, as mass shooters so often are, the narrative of the “lone wolf” quickly becomes dominant. Anti-gun control ideologues, from the National Rifle Association to Republican lawmakers, assure us that the shooter was a monstrous singularity, just one bad guy who happened to have a gun.",The New York Times,Op-Ed,article,1228,https://www.nytimes.com/2019/10/09/opinion/mass-shooting-responsibility.html,Opinion,,OpEd
2019-10-09T01:06:22Z,California Man Is Convicted of Cyberstalking Parkland Victims’ Families,"Over three weeks, the man impersonated Nikolas Cruz, the confessed gunman, on social media to threaten and taunt.","Over three weeks, the man impersonated Nikolas Cruz, the confessed gunman, on social media to threaten and taunt.","A California man was convicted on Tuesday of cyberstalking and threatening to kidnap relatives of those killed in the 2018 mass shooting at Marjory Stoneman Douglas High School in Parkland, Fla., federal prosecutors said.",The New York Times,News,article,441,https://www.nytimes.com/2019/10/08/us/parkland-shooting-victims-cyber-stalker.html,U.S.,,Express
2019-10-08T13:55:22Z,"Top Secret Russian Unit Seeks to Destabilize Europe, Security Officials Say","Known as Unit 29155, the group is skilled in subversion, sabotage and assassination and has only recently become known to Western intelligence agencies.","Known as Unit 29155, the group is skilled in subversion, sabotage and assassination and has only recently become known to Western intelligence agencies.","First came a destabilization campaign in Moldova, followed by the poisoning of an arms dealer in Bulgaria and then a thwarted coup in Montenegro. Last year, there was an attempt to assassinate a former Russian spy in Britain using a nerve agent. Though the operations bore the fingerprints of Russia’s intelligence services, the authorities initially saw them as isolated, unconnected attacks.",The New York Times,News,article,1773,https://www.nytimes.com/2019/10/08/world/europe/unit-29155-russia-gru.html,World,Europe,Foreign
